t	Y(t)	Z(t)	y(t)	z(t)
0.45	0.0012	125	0.0012	125
1.075	0.00155	43	0.00155	43
1.7	0.00201	56	0.00201	56
2.325	0.00261	74	0.00261	74
2.95	0.00339	97	0.00339	97
3.575	0.00443	128	0.00443	128
4.2	0.00582	170	0.00582	170
4.825	0.00769	229	0.00769	229
5.45	0.01025	311	0.01025	311
6.075	0.01382	431	0.01382	431
6.7	0.0189	608	0.0189	608
7.325	0.02631	880	0.02631	880
7.95	0.03743	1309	0.03743	1309
8.575	0.05449	1989	0.05449	1989
9.2	0.08063	3030	0.08063	3030
9.825	0.11873	4426	0.11873	4426
10.45	0.16878	5898	0.16878	5898
11.075	0.2285	7208	0.2285	7208
11.7	0.30003	8796	0.30003	8796
12.325	0.39718	11874	0.39718	11874
12.95	0.53675	16856	0.53674	16856
13.575	0.66262	16370	0.66262	16370
14.2	0.71396	9470	0.71396	9470
14.825	0.71677	4768	0.71677	4768
15.45	0.69659	2406	0.69659	2406
16.075	0.66605	1208	0.66606	1208
16.7	0.63149	599	0.63149	599
17.325	0.59609	296	0.59609	296
17.95	0.56141	148	0.56141	148
18.575	0.52814	76	0.52814	76
19.2	0.49654	41	0.49654	41
19.825	0.46667	23	0.46667	23
20.45	0.43853	13	0.43853	13
21.075	0.41204	8	0.41204	8
21.7	0.38713	5	0.38713	5
22.325	0.36371	3	0.36371	3
22.95	0.3417	2	0.3417	2
23.575	0.32101	1	0.32101	1
24.2	0.30158	1	0.30158	1
24.825	0.28332	1	0.28332	1
25.45	0.26616	0	0.26616	0
26.075	0.25004	0	0.25004	0
26.7	0.23489	0	0.2349	0
27.325	0.22067	0	0.22067	0
27.95	0.2073	0	0.2073	0
28.575	0.19475	0	0.19475	0
29.2	0.18295	0	0.18295	0
29.825	0.17187	0	0.17187	0
30.45	0.16146	0	0.16146	0
31.075	0.15168	0	0.15168	0
31.7	0.14249	0	0.14249	0
32.325	0.13386	0	0.13386	0
32.95	0.12575	0	0.12575	0
33.575	0.11813	0	0.11813	0
34.2	0.11097	0	0.11097	0
34.825	0.10425	0	0.10425	0
35.45	0.09794	0	0.09794	0
36.075	0.092	0	0.092	0
36.7	0.08643	0	0.08643	0
37.325	0.08119	0	0.08119	0
37.95	0.07627	0	0.07627	0
38.575	0.07165	0	0.07165	0
39.2	0.06731	0	0.06731	0
39.825	0.06324	0	0.06324	0
40.45	0.0594	0	0.0594	0
41.075	0.05581	0	0.05581	0
41.7	0.05242	0	0.05242	0
42.325	0.04925	0	0.04925	0
42.95	0.04627	0	0.04627	0
43.575	0.04346	0	0.04346	0
44.2	0.04083	0	0.04083	0
44.825	0.03836	0	0.03836	0
45.45	0.03603	0	0.03603	0
46.075	0.03385	0	0.03385	0
46.7	0.0318	0	0.0318	0
47.325	0.02987	0	0.02987	0
47.95	0.02806	0	0.02806	0
48.575	0.02636	0	0.02636	0
49.2	0.02476	0	0.02476	0
49.825	0.02326	0	0.02326	0
50.45	0.02186	0	0.02186	0
51.075	0.02053	0	0.02053	0
51.7	0.01929	0	0.01929	0
52.325	0.01812	0	0.01812	0
52.95	0.01702	0	0.01702	0
53.575	0.01599	0	0.01599	0
54.2	0.01502	0	0.01502	0
54.825	0.01411	0	0.01411	0
55.45	0.01326	0	0.01326	0
56.075	0.01245	0	0.01245	0
56.7	0.0117	0	0.0117	0
57.325	0.01099	0	0.01099	0
57.95	0.01032	0	0.01032	0
58.575	0.0097	0	0.0097	0
59.2	0.00911	0	0.00911	0
59.825	0.00856	0	0.00856	0
60.45	0.00804	0	0.00804	0
61.075	0.00755	0	0.00755	0
61.7	0.0071	0	0.0071	0
62.325	0.00667	0	0.00667	0
