t	Y(t)	Z(t)	y(t)	z(t)
1.075	0	998	0.00155	168
2.325	0	0	0.00261	130
3.575	0	704	0.00443	225
4.825	0	1786	0.00769	399
6.075	0	2084	0.01382	743
7.325	0.03053	1413	0.02631	1489
8.575	0.0436	3614	0.05449	3298
9.825	0.11798	8328	0.11873	7456
11.075	0.23078	13225	0.2285	13106
12.325	0.3899	20625	0.39718	20670
13.575	0.66877	31874	0.66262	33226
14.825	0.68981	14827	0.71677	14239
16.075	0.66947	3469	0.66606	3614
17.325	0.59646	1170	0.59609	895
18.575	0.51734	0	0.52814	225
19.825	0.47059	0	0.46667	64
21.075	0.42021	0	0.41204	21
22.325	0.38429	382	0.36371	8
23.575	0.32613	781	0.32101	4
24.825	0.31663	804	0.28332	2
26.075	0.21322	0	0.25004	1
27.325	0.20817	21	0.22067	1
28.575	0.2051	0	0.19475	0
29.825	0.1756	0	0.17187	0
31.075	0.13945	0	0.15168	0
32.325	0.11539	0	0.13386	0
33.575	0.09861	833	0.11813	0
34.825	0.08526	2081	0.10425	0
36.075	0.10187	146	0.092	0
37.325	0.06403	553	0.08119	0
38.575	0.06014	96	0.07165	0
39.825	0.11444	0	0.06324	0
41.075	0.07879	0	0.05581	0
42.325	0.04855	1399	0.04925	0
43.575	0.03092	1432	0.04346	0
44.825	0.05251	0	0.03836	0
46.075	0.0465	768	0.03385	0
47.325	0.04231	0	0.02987	0
48.575	0.01182	0	0.02636	0
49.825	0.02178	490	0.02326	0
51.075	0.02409	0	0.02053	0
52.325	0.02572	482	0.01812	0
53.575	0.02719	854	0.01599	0
54.825	0.03079	363	0.01411	0
56.075	0.01105	0	0.01245	0
57.325	0.01958	164	0.01099	0
58.575	0.01513	0	0.0097	0
59.825	0	832	0.00856	0
61.075	0.00676	538	0.00755	0
62.325	0.00723	23	0.00667	0
