I	beta(I)
0.359	0.9736
0.36	0.9766
0.361	0.9796
0.362	0.9827
0.363	0.9858
0.364	0.9889
0.365	0.992
0.366	0.9951
0.367	0.9983
0.368	1.0014
0.369	1.0046
0.37	1.0078
0.371	1.011
0.372	1.0142
0.373	1.0174
0.374	1.0206
0.375	1.0239
0.376	1.0271
0.377	1.0304
0.378	1.0337
0.379	1.037
0.38	1.0403
0.381	1.0436
0.382	1.0469
0.383	1.0502
0.384	1.0536
0.385	1.057
0.386	1.0603
0.387	1.0637
0.388	1.0671
0.389	1.0705
0.39	1.0739
0.391	1.0773
0.392	1.0807
0.393	1.0842
0.394	1.0876
0.395	1.0911
0.396	1.0945
0.397	1.098
0.398	1.1015
0.399	1.105
0.4	1.1084
0.401	1.1119
0.402	1.1155
0.403	1.119
0.404	1.1225
0.405	1.126
0.406	1.1295
0.407	1.1331
0.408	1.1366
0.409	1.1401
0.41	1.1437
0.411	1.1473
0.412	1.1508
0.413	1.1544
0.414	1.158
0.415	1.1615
0.416	1.1651
0.417	1.1687
0.418	1.1723
0.419	1.1758
0.42	1.1794
0.421	1.183
0.422	1.1866
0.423	1.1902
0.424	1.1938
0.425	1.1974
0.426	1.201
0.427	1.2046
0.428	1.2082
0.429	1.2118
0.43	1.2154
0.431	1.219
0.432	1.2226
0.433	1.2262
0.434	1.2298
0.435	1.2334
0.436	1.237
0.437	1.2406
0.438	1.2442
0.439	1.2478
0.44	1.2514
0.441	1.255
0.442	1.2586
0.443	1.2622
0.444	1.2657
0.445	1.2693
0.446	1.2729
0.447	1.2765
0.448	1.28
0.449	1.2836
0.45	1.2872
0.451	1.2907
0.452	1.2943
0.453	1.2978
0.454	1.3014
0.455	1.3049
0.456	1.3084
0.457	1.3119
0.458	1.3155
0.459	1.319
0.46	1.3225
0.461	1.326
0.462	1.3295
0.463	1.333
0.464	1.3364
0.465	1.3399
0.466	1.3434
0.467	1.3468
0.468	1.3503
0.469	1.3537
0.47	1.3571
