t	Y(t)	Z(t)	y(t)	z(t)
0.45	0.01973	879	0.0012	125
1.075	0	266	0.00155	43
1.7	0	0	0.00201	56
2.325	0	0	0.00261	74
2.95	0.00436	0	0.00339	97
3.575	0.00984	108	0.00443	128
4.2	0.00104	0	0.00582	170
4.825	0	527	0.00769	229
5.45	0.02027	0	0.01025	311
6.075	0.01581	728	0.01382	431
6.7	0	823	0.0189	608
7.325	0.01306	1106	0.02631	880
7.95	0.02217	595	0.03743	1309
8.575	0.02194	2008	0.05449	1989
9.2	0.08583	2673	0.08063	3030
9.825	0.1315	3769	0.11873	4426
10.45	0.16746	5419	0.16878	5898
11.075	0.21546	7226	0.2285	7208
11.7	0.28282	8644	0.30003	8796
12.325	0.4173	11646	0.39718	11874
12.95	0.55346	16409	0.53674	16856
13.575	0.67321	16939	0.66262	16370
14.2	0.66453	9155	0.71396	9470
14.825	0.72831	4688	0.71677	4768
15.45	0.70401	2168	0.69659	2406
16.075	0.66779	1146	0.66606	1208
16.7	0.65484	699	0.63149	599
17.325	0.60284	133	0.59609	296
17.95	0.55166	0	0.56141	148
18.575	0.53603	0	0.52814	76
19.2	0.50233	861	0.49654	41
19.825	0.4841	0	0.46667	23
20.45	0.46256	0	0.43853	13
21.075	0.37128	0	0.41204	8
21.7	0.34971	0	0.38713	5
22.325	0.36408	666	0.36371	3
22.95	0.34824	0	0.3417	2
23.575	0.3376	0	0.32101	1
24.2	0.30629	306	0.30158	1
24.825	0.25374	453	0.28332	1
25.45	0.27293	0	0.26616	0
26.075	0.26269	898	0.25004	0
26.7	0.23853	98	0.2349	0
27.325	0.21148	0	0.22067	0
27.95	0.22391	0	0.2073	0
28.575	0.19618	0	0.19475	0
29.2	0.19253	132	0.18295	0
29.825	0.19262	0	0.17187	0
30.45	0.15606	0	0.16146	0
31.075	0.14279	149	0.15168	0
31.7	0.15763	0	0.14249	0
32.325	0.15125	536	0.13386	0
32.95	0.13402	741	0.12575	0
33.575	0.10266	0	0.11813	0
34.2	0.0754	591	0.11097	0
34.825	0.11734	0	0.10425	0
35.45	0.10354	0	0.09794	0
36.075	0.14092	51	0.092	0
36.7	0.08862	286	0.08643	0
37.325	0.09081	88	0.08119	0
37.95	0.06047	186	0.07627	0
38.575	0.10929	531	0.07165	0
39.2	0.09918	0	0.06731	0
39.825	0.04344	0	0.06324	0
40.45	0.06052	432	0.0594	0
41.075	0.02196	604	0.05581	0
41.7	0.04926	0	0.05242	0
42.325	0.02901	0	0.04925	0
42.95	0.06273	29	0.04627	0
43.575	0.01766	0	0.04346	0
44.2	0.03411	659	0.04083	0
44.825	0.03316	0	0.03836	0
45.45	0.03112	0	0.03603	0
46.075	0	0	0.03385	0
46.7	0.02718	275	0.0318	0
47.325	0.06685	445	0.02987	0
47.95	0.02268	0	0.02806	0
48.575	0.07783	23	0.02636	0
49.2	0.02504	0	0.02476	0
49.825	0.02723	0	0.02326	0
50.45	0.01038	0	0.02186	0
51.075	0.01988	0	0.02053	0
51.7	0.00503	42	0.01929	0
52.325	0.01302	594	0.01812	0
52.95	0	431	0.01702	0
53.575	0.04091	0	0.01599	0
54.2	0.00817	0	0.01502	0
54.825	0	0	0.01411	0
55.45	0	692	0.01326	0
56.075	0.03117	502	0.01245	0
56.7	0.02613	0	0.0117	0
57.325	0.0005	193	0.01099	0
57.95	0	281	0.01032	0
58.575	0.00489	0	0.0097	0
59.2	0.02333	175	0.00911	0
59.825	0.00134	458	0.00856	0
60.45	0	243	0.00804	0
61.075	0.01942	0	0.00755	0
61.7	0.01362	0	0.0071	0
62.325	0.02515	0	0.00667	0
