t	Y(t)	Z(t)	y(t)	z(t)
0.45	0.00478	235	0.0012	125
1.075	0.01238	251	0.00155	43
1.7	0	0	0.00201	56
2.325	0.00776	175	0.00261	74
2.95	0.00854	858	0.00339	97
3.575	0.01014	352	0.00443	128
4.2	0.01536	299	0.00582	170
4.825	0.00454	379	0.00769	229
5.45	0.00253	265	0.01025	311
6.075	0.00897	447	0.01382	431
6.7	0.04204	239	0.0189	608
7.325	0.03317	562	0.02631	880
7.95	0.03271	1524	0.03743	1309
8.575	0.05514	1776	0.05449	1989
9.2	0.07348	3164	0.08063	3030
9.825	0.11143	4468	0.11873	4426
10.45	0.16924	5769	0.16878	5898
11.075	0.24994	7333	0.2285	7208
11.7	0.27978	8833	0.30003	8796
12.325	0.39056	12042	0.39718	11874
12.95	0.52882	16833	0.53674	16856
13.575	0.66767	16541	0.66262	16370
14.2	0.70196	9404	0.71396	9470
14.825	0.71202	4639	0.71677	4768
15.45	0.71425	2486	0.69659	2406
16.075	0.65345	1389	0.66606	1208
16.7	0.65271	803	0.63149	599
17.325	0.5809	200	0.59609	296
17.95	0.57408	8	0.56141	148
18.575	0.53257	229	0.52814	76
19.2	0.48727	29	0.49654	41
19.825	0.43426	0	0.46667	23
20.45	0.43601	0	0.43853	13
21.075	0.42837	0	0.41204	8
21.7	0.38273	31	0.38713	5
22.325	0.37812	0	0.36371	3
22.95	0.35333	4	0.3417	2
23.575	0.3112	93	0.32101	1
24.2	0.30357	0	0.30158	1
24.825	0.28401	0	0.28332	1
25.45	0.26729	131	0.26616	0
26.075	0.2659	0	0.25004	0
26.7	0.25623	0	0.2349	0
27.325	0.21915	116	0.22067	0
27.95	0.21011	0	0.2073	0
28.575	0.19266	0	0.19475	0
29.2	0.17706	168	0.18295	0
29.825	0.17544	0	0.17187	0
30.45	0.17045	60	0.16146	0
31.075	0.1598	124	0.15168	0
31.7	0.1342	0	0.14249	0
32.325	0.14133	120	0.13386	0
32.95	0.12554	23	0.12575	0
33.575	0.13091	0	0.11813	0
34.2	0.11644	0	0.11097	0
34.825	0.10208	217	0.10425	0
35.45	0.10619	160	0.09794	0
36.075	0.10506	4	0.092	0
36.7	0.09325	0	0.08643	0
37.325	0.08444	0	0.08119	0
37.95	0.07724	117	0.07627	0
38.575	0.06347	413	0.07165	0
39.2	0.05725	0	0.06731	0
39.825	0.07482	156	0.06324	0
40.45	0.06565	124	0.0594	0
41.075	0.05568	0	0.05581	0
41.7	0.05318	0	0.05242	0
42.325	0.059	0	0.04925	0
42.95	0.03801	0	0.04627	0
43.575	0.04759	0	0.04346	0
44.2	0.03261	48	0.04083	0
44.825	0.04081	0	0.03836	0
45.45	0.03132	45	0.03603	0
46.075	0.01937	0	0.03385	0
46.7	0.02461	0	0.0318	0
47.325	0.03298	291	0.02987	0
47.95	0.03664	0	0.02806	0
48.575	0.02617	0	0.02636	0
49.2	0.02458	0	0.02476	0
49.825	0.02649	0	0.02326	0
50.45	0.02705	302	0.02186	0
51.075	0.01944	79	0.02053	0
51.7	0.02619	0	0.01929	0
52.325	0.02036	2	0.01812	0
52.95	0.018	0	0.01702	0
53.575	0.01623	98	0.01599	0
54.2	0.02953	189	0.01502	0
54.825	0.03564	0	0.01411	0
55.45	0.02198	36	0.01326	0
56.075	0.03435	0	0.01245	0
56.7	0.0033	0	0.0117	0
57.325	0	0	0.01099	0
57.95	0.00273	29	0.01032	0
58.575	0.01312	370	0.0097	0
59.2	0.01862	0	0.00911	0
59.825	0	97	0.00856	0
60.45	0	361	0.00804	0
61.075	0.01935	0	0.00755	0
61.7	0	267	0.0071	0
62.325	0.00552	244	0.00667	0
