t	Y(t)	Z(t)	y(t)	z(t)
36.075	0.09762	0	0.092	0
36.325	0.08557	0	0.08973	0
36.575	0.07573	134	0.08752	0
36.825	0.0925	0	0.08536	0
37.075	0.10124	48	0.08325	0
37.325	0.09745	99	0.08119	0
37.575	0.06261	0	0.07919	0
37.825	0.09218	96	0.07723	0
38.075	0.07491	18	0.07533	0
38.325	0.09902	0	0.07347	0
38.575	0.0826	0	0.07165	0
38.825	0.06553	173	0.06989	0
39.075	0.08467	128	0.06816	0
39.325	0.09259	3	0.06648	0
39.575	0.07847	0	0.06484	0
39.825	0.06972	0	0.06324	0
40.075	0.06361	94	0.06167	0
40.325	0.04379	330	0.06015	0
40.575	0.03855	0	0.05867	0
40.825	0.08038	125	0.05722	0
41.075	0.06829	99	0.05581	0
41.325	0.05418	0	0.05443	0
41.575	0.0546	0	0.05308	0
41.825	0.07128	0	0.05177	0
42.075	0.03399	0	0.0505	0
42.325	0.05751	0	0.04925	0
42.575	0.03159	38	0.04803	0
42.825	0.05175	0	0.04685	0
43.075	0.03627	36	0.04569	0
43.325	0.0156	0	0.04456	0
43.575	0.02909	0	0.04346	0
43.825	0.04861	233	0.04239	0
44.075	0.0585	0	0.04134	0
44.325	0.03994	0	0.04032	0
44.575	0.03896	0	0.03933	0
44.825	0.04481	0	0.03836	0
45.075	0.0478	242	0.03741	0
45.325	0.03431	63	0.03649	0
45.575	0.04939	0	0.03558	0
45.825	0.03919	1	0.03471	0
46.075	0.0358	0	0.03385	0
46.325	0.0335	78	0.03301	0
46.575	0.06122	151	0.0322	0
46.825	0.07447	0	0.0314	0
47.075	0.04807	28	0.03063	0
47.325	0.07367	0	0.02987	0
47.575	0.01234	0	0.02913	0
47.825	0	0	0.02842	0
48.075	0.01253	23	0.02771	0
48.325	0.03386	296	0.02703	0
48.575	0.04537	0	0.02636	0
48.825	0.00774	77	0.02571	0
49.075	0	289	0.02508	0
49.325	0.04805	0	0.02446	0
49.575	0	214	0.02385	0
49.825	0.02097	195	0.02326	0
50.075	0	0	0.02269	0
50.325	0.02223	7	0.02213	0
50.575	0.01258	98	0.02158	0
50.825	0	0	0.02105	0
51.075	0.02294	81	0.02053	0
51.325	0.03426	0	0.02002	0
51.575	0	202	0.01953	0
51.825	0.02569	0	0.01905	0
52.075	0.0496	18	0.01858	0
52.325	0.0417	10	0.01812	0
52.575	0.05889	277	0.01767	0
52.825	0.01226	153	0.01724	0
53.075	0.02972	216	0.01681	0
53.325	0	108	0.01639	0
53.575	0.03716	0	0.01599	0
53.825	0	0	0.0156	0
54.075	0.00982	113	0.01521	0
54.325	0.04488	11	0.01483	0
54.575	0.04704	0	0.01447	0
54.825	0	0	0.01411	0
55.075	0.02144	0	0.01376	0
55.325	0	0	0.01342	0
55.575	0	105	0.01309	0
55.825	0.0201	0	0.01277	0
56.075	0.00218	0	0.01245	0
56.325	0.01089	151	0.01215	0
56.575	0	79	0.01185	0
56.825	0.00095	0	0.01155	0
57.075	0.00913	0	0.01127	0
57.325	0	0	0.01099	0
57.575	0.05001	5	0.01072	0
57.825	0	33	0.01045	0
58.075	0.00795	0	0.0102	0
58.325	0.02223	119	0.00994	0
58.575	0	0	0.0097	0
58.825	0.00396	0	0.00946	0
59.075	0	216	0.00923	0
59.325	0.0419	0	0.009	0
59.575	0.02031	49	0.00878	0
59.825	0.07014	177	0.00856	0
60.075	0.00579	0	0.00835	0
60.325	0	32	0.00814	0
60.575	0	0	0.00794	0
60.825	0	0	0.00774	0
61.075	0.0413	139	0.00755	0
61.325	0.00721	234	0.00737	0
61.575	0.00873	0	0.00718	0
61.825	0.03747	85	0.00701	0
62.075	0	0	0.00683	0
62.325	0	0	0.00667	0
