t	Y(t)	Z(t)	y(t)	z(t)
0.075	0.01097	82	0.00103	103
0.325	0.0141	254	0.00114	13
0.575	0	0	0.00126	15
0.825	0.03299	138	0.0014	17
1.075	0	104	0.00155	18
1.325	0	0	0.00172	20
1.575	0.00675	0	0.00191	23
1.825	0	0	0.00212	25
2.075	0	78	0.00235	28
2.325	0	0	0.00261	32
2.575	0.03221	0	0.0029	35
2.825	0.00457	0	0.00322	39
3.075	0	62	0.00358	44
3.325	0	109	0.00398	49
3.575	0	9	0.00443	55
3.825	0	355	0.00494	62
4.075	0.00524	0	0.00551	70
4.325	0.0226	0	0.00615	78
4.575	0.01105	0	0.00687	88
4.825	0	131	0.00769	100
5.075	0.02339	140	0.00862	113
5.325	0.00736	80	0.00967	128
5.575	0	31	0.01088	145
5.825	0.00303	333	0.01225	166
6.075	0.02069	0	0.01382	189
6.325	0.02212	157	0.01563	218
6.575	0.00419	347	0.01773	251
6.825	0.04078	437	0.02016	290
7.075	0.00621	288	0.02299	337
7.325	0.03293	547	0.02631	393
7.575	0.02063	431	0.03021	460
7.825	0.01269	352	0.03482	541
8.075	0.05653	854	0.04028	639
8.325	0.04533	916	0.04677	757
8.575	0.06173	796	0.05449	898
8.825	0.0709	1307	0.06367	1064
9.075	0.0738	1504	0.07452	1257
9.325	0.03484	1603	0.08724	1473
9.575	0.10371	1661	0.10197	1708
9.825	0.12056	1637	0.11873	1951
10.075	0.13305	2247	0.13745	2191
10.325	0.1875	2336	0.15794	2418
10.575	0.16383	2549	0.18	2628
10.825	0.22182	2881	0.20351	2829
11.075	0.2179	3119	0.2285	3038
11.325	0.25718	3431	0.25524	3278
11.575	0.27028	3530	0.28433	3582
11.825	0.30887	3757	0.31671	3988
12.075	0.35969	4583	0.35376	4542
12.325	0.39728	5241	0.39718	5278
12.575	0.41999	6101	0.4483	6167
12.825	0.49957	6878	0.50643	7005
13.075	0.56337	7422	0.5666	7358
13.325	0.65839	6921	0.62067	6893
13.575	0.66777	5789	0.66262	5801
13.825	0.65295	4561	0.69132	4565
14.075	0.70991	3879	0.7087	3490
14.325	0.71349	2695	0.71734	2647
14.575	0.71876	1824	0.71945	2008
14.825	0.73963	1646	0.71677	1527
15.075	0.72637	1018	0.71055	1162
15.325	0.72979	663	0.70174	884
15.575	0.70278	1018	0.69105	672
15.825	0.6592	420	0.67902	509
16.075	0.66805	305	0.66606	385
16.325	0.62147	301	0.65248	291
16.575	0.61729	294	0.63854	219
16.825	0.60602	410	0.62441	165
17.075	0.59456	73	0.61022	124
17.325	0.61236	0	0.59609	94
17.575	0.58663	278	0.58208	71
17.825	0.5361	83	0.56825	54
18.075	0.55983	165	0.55463	41
18.325	0.51651	0	0.54125	32
18.575	0.53857	71	0.52814	24
18.825	0.5203	74	0.51529	19
19.075	0.48912	51	0.50272	15
19.325	0.49628	0	0.49042	12
19.575	0.51573	84	0.47841	9
19.825	0.44285	111	0.46667	7
20.075	0.43572	130	0.45521	6
20.325	0.4672	0	0.44402	5
20.575	0.45237	69	0.4331	4
20.825	0.43889	303	0.42244	3
21.075	0.40713	0	0.41204	2
21.325	0.3841	0	0.40189	2
21.575	0.39045	55	0.39199	2
21.825	0.38786	132	0.38233	1
22.075	0.37316	231	0.3729	1
22.325	0.35842	431	0.36371	1
22.575	0.36725	0	0.35474	1
22.825	0.32457	77	0.34599	0
23.075	0.33299	113	0.33746	0
23.325	0.3386	0	0.32913	0
23.575	0.30408	0	0.32101	0
23.825	0.30416	135	0.31309	0
24.075	0.30965	0	0.30537	0
24.325	0.3013	61	0.29783	0
24.575	0.27281	24	0.29048	0
24.825	0.28448	0	0.28332	0
25.075	0.28348	89	0.27632	0
25.325	0.29117	166	0.2695	0
25.575	0.2353	0	0.26285	0
25.825	0.26667	81	0.25637	0
26.075	0.26034	609	0.25004	0
26.325	0.25529	179	0.24387	0
26.575	0.25693	103	0.23785	0
26.825	0.22567	120	0.23198	0
27.075	0.2108	0	0.22625	0
27.325	0.21096	13	0.22067	0
27.575	0.26151	0	0.21522	0
27.825	0.22363	0	0.20991	0
28.075	0.19529	172	0.20473	0
28.325	0.20096	0	0.19967	0
28.575	0.18044	107	0.19475	0
28.825	0.17533	34	0.18994	0
29.075	0.18616	0	0.18525	0
29.325	0.22356	100	0.18068	0
29.575	0.13571	29	0.17622	0
29.825	0.15863	134	0.17187	0
30.075	0.15177	0	0.16762	0
30.325	0.17359	136	0.16349	0
30.575	0.13545	0	0.15945	0
30.825	0.14602	0	0.15551	0
31.075	0.18699	64	0.15168	0
31.325	0.12271	145	0.14793	0
31.575	0.18672	163	0.14428	0
31.825	0.11033	0	0.14072	0
32.075	0.16258	0	0.13724	0
32.325	0.14273	122	0.13386	0
32.575	0.11201	0	0.13055	0
32.825	0.0625	0	0.12733	0
33.075	0.11913	0	0.12419	0
33.325	0.15377	0	0.12112	0
33.575	0.10933	20	0.11813	0
33.825	0.14404	0	0.11521	0
34.075	0.13563	1	0.11237	0
34.325	0.08997	73	0.1096	0
34.575	0.11087	0	0.10689	0
34.825	0.10565	0	0.10425	0
35.075	0.10395	104	0.10168	0
35.325	0.13089	0	0.09917	0
35.575	0.13938	0	0.09672	0
35.825	0.0913	93	0.09433	0
